location,propertyType,squaredMeter,room,bathroom,prices
COMITAN,Casa,300.0,3,2,944544
COMITAN,Casa,92.0,3,3,1260000
COMITAN,Casa,112.0,3,3,1330000
COMITAN,Casa,150.0,3,2,2127465
COMITAN,Casa,150.0,3,2,2023650
COMITAN,Casa,82.0,2,1,1214814
COMITAN,Casa,67.0,2,1,1110000
COMITAN,Casa,67.0,2,1,980000
COMITAN,Casa,295.0,5,3,2300000
COMITAN,Casa,276.0,5,3,2300000
COMITAN,Casa,147.0,3,2,1984500
COMITAN,Casa,144.0,3,2,2233838
COMITAN,Casa,244.0,3,2,1550000
COMITAN,Casa,450.0,2,3,5500000
COMITAN,Casa,45.0,2,1,580000
COMITAN,Casa,110.0,3,1,4700000
COMITAN,Casa,188.0,3,2,1480000
COMITAN,Casa,450.0,2,2,5500000
COMITAN,Casa,136.0,4,4,8000000
COMITAN,Casa,147.0,3,4,1500000
COMITAN,Casa,159.0,3,2,1529900
COMITAN,Casa,372.0,3,3,1450000
COMITAN,Casa,214.0,5,3,2650000
COMITAN,Casa,188.0,3,2,1540000
COMITAN,Casa,249.0,3,2,1280000
COMITAN,Casa,214.0,4,3,7000000
COMITAN,Casa,650.0,3,1,1382000
COMITAN,Casa,90.0,3,2,1643520
COMITAN,Casa,100.0,3,2,1643520
COMITAN,Casa,77.0,3,2,2500000
COMITAN,Casa,150.0,2,2,1150000
COMITAN,Casa,184.0,3,1,1382000
COMITAN,Casa,186.0,3,3,1750000
COMITAN,Casa,120.0,3,3,1310000
COMITAN,Casa,120.0,2,1,1059480
COMITAN,Casa,120.0,2,1,2778100
COMITAN,Casa,402.0,3,2,1069480
COMITAN,Casa,194.0,4,4,5500000
COMITAN,Casa,142.0,3,2,1800000
COMITAN,Casa,386.0,3,3,1250000
COMITAN,Casa,184.0,4,2,3900000
COMITAN,Casa,90.0,3,2,1750000
COMITAN,Casa,100.0,2,1,750000
COMITAN,Casa,450.0,2,2,1643520
COMITAN,Casa,200.0,4,4,6000000
COMITAN,Casa,200.0,4,3,2708750
COMITAN,Casa,525.0,3,1,1300000
COMITAN,Casa,71.0,4,3,2800000
COMITAN,Casa,380.0,2,1,1000000
COMITAN,Casa,100.0,5,5,3900000
COMITAN,Casa,48.0,2,2,1643520
COMITAN,Casa,48.0,2,1,619000
